epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,3907.58,2.23637,2.12477,2.03339,0.37187,0.20614,0.20779,0.08544,2.3276,2.3501,2.12055,0.000515,0.000515,0.000515
77,3958.76,2.2361,2.06984,2.00952,0.32417,0.21491,0.18486,0.08156,2.33913,2.38311,2.13754,0.0004952,0.0004952,0.0004952
78,4009.92,2.18871,2.05506,2.00522,0.37154,0.2193,0.22674,0.09153,2.31877,2.3102,2.1448,0.0004754,0.0004754,0.0004754
79,4060.89,2.23457,2.0715,2.00236,0.42919,0.19298,0.20997,0.09266,2.31271,2.30099,2.12294,0.0004556,0.0004556,0.0004556
80,4110.81,2.25052,2.0654,2.00442,0.46094,0.17982,0.20219,0.08934,2.29717,2.40525,2.09225,0.0004358,0.0004358,0.0004358
81,4160.88,2.21234,2.11691,2.02141,0.41697,0.22368,0.2259,0.09603,2.26345,2.34474,2.09955,0.000416,0.000416,0.000416
82,4210.73,2.19274,2.03685,2.00699,0.38927,0.22807,0.23024,0.09851,2.28635,2.34505,2.11053,0.0003962,0.0003962,0.0003962
83,4260.76,2.15031,2.0361,1.96101,0.33456,0.23684,0.22502,0.092,2.28462,2.33185,2.09561,0.0003764,0.0003764,0.0003764
84,4310.16,2.08666,1.96927,1.94366,0.30669,0.20614,0.19699,0.08896,2.31937,2.37139,2.11518,0.0003566,0.0003566,0.0003566
85,4360.16,2.2153,2.03036,1.98005,0.3646,0.21896,0.20595,0.08893,2.30474,2.31441,2.09896,0.0003368,0.0003368,0.0003368
86,4410,2.16798,1.96905,1.93889,0.49078,0.17544,0.2155,0.08998,2.33031,2.33167,2.10143,0.000317,0.000317,0.000317
87,4460.18,2.1908,1.98208,1.95932,0.42177,0.17982,0.2237,0.09043,2.30796,2.29512,2.10492,0.0002972,0.0002972,0.0002972
88,4509.96,2.19075,2.01136,1.95805,0.38529,0.23643,0.22503,0.09478,2.27632,2.2794,2.0901,0.0002774,0.0002774,0.0002774
89,4559.3,2.13806,2.03488,1.97,0.36171,0.24123,0.22695,0.09687,2.26246,2.29362,2.0898,0.0002576,0.0002576,0.0002576
90,4610.32,2.0974,2.01728,1.95031,0.33386,0.24123,0.22589,0.09543,2.26451,2.30703,2.09068,0.0002378,0.0002378,0.0002378
91,4659,2.14061,2.17576,1.98784,0.37663,0.20614,0.23898,0.0967,2.27239,2.29477,2.07997,0.000218,0.000218,0.000218
92,4708.05,2.10959,2.04484,1.94126,0.37027,0.21491,0.23875,0.09634,2.25333,2.27766,2.06499,0.0001982,0.0001982,0.0001982
93,4756.88,2.0844,1.98225,1.94998,0.49416,0.17982,0.23112,0.09626,2.25015,2.29526,2.06378,0.0001784,0.0001784,0.0001784
94,4805.92,2.06691,1.96764,1.89639,0.32794,0.22368,0.23148,0.09553,2.26086,2.28694,2.06908,0.0001586,0.0001586,0.0001586
95,4857.25,2.08098,1.99193,1.93751,0.35086,0.24123,0.23956,0.09538,2.24894,2.27081,2.05619,0.0001388,0.0001388,0.0001388
96,4908.97,2.02646,1.92029,1.89563,0.33211,0.23246,0.24438,0.09624,2.24295,2.26379,2.0488,0.000119,0.000119,0.000119
97,4960.26,2.07585,2.00294,1.9734,0.34845,0.23684,0.24693,0.09727,2.22504,2.25893,2.04165,9.92e-05,9.92e-05,9.92e-05
98,5009.42,2.03249,1.93377,1.92016,0.40718,0.20184,0.24226,0.09582,2.21418,2.27776,2.03736,7.94e-05,7.94e-05,7.94e-05
99,5058.74,2.03869,1.89317,1.93241,0.46292,0.20175,0.24094,0.09703,2.21014,2.26928,2.03666,5.96e-05,5.96e-05,5.96e-05
100,5107.9,2.04252,1.94188,1.91443,0.49417,0.18421,0.24031,0.09965,2.22646,2.25539,2.04242,3.98e-05,3.98e-05,3.98e-05
